names,science score,history score
Pam Otoole,57,4.0
Diane Olson,48,4.8
Sarah Flannery,72,6.1
Stanley Chappell,47,3.7
Arnold Dodson,60,5.2
Amber Hicks,56,6.0
Susan Miller,70,6.7
Joseph Jaco,36,3.1
Arthur Byer,64,3.7
Donna Medlin,38,3.9
Shaun Johnson,58,3.9
Lamar Becker,40,4.1
Camie Hamilton,45,5.4
Anthony Brown,62,4.0
Catherine Grenier,50,3.2
Cynthia Mandeville,55,4.2
Charles Johnson,88,5.8
Sonia Brent,14,2.7
Samuel Dougal,41,3.3
Barbara Barahona,54,3.4
Hubert Mitchell,46,4.3
Judith Malone,65,4.2
John Salter,39,4.2
Denise Harstad,55,4.5
Brian Geraldo,74,4.8
Edward Hutcheson,73,5.0
William Musick,55,4.2
Dolores Sprinkle,60,3.9
Edward Killingsworth,63,4.4
Viola Santiago,55,4.8
Hazel Montoya,69,5.4
Dana Belcher,50,3.7
Shirley Nicholls,56,4.5
Justin Harris,32,3.0
Matthew Demelis,97,4.7
Arthur William,56,5.9
Joyce Turpen,51,4.4
Joyce Bland,45,4.8
Audrey Vargas,75,5.3
Robert Frazier,39,4.4
Robert Strain,49,4.7
Margery Rattan,52,5.4
Heike Miller,53,4.1
Richard Benitez,53,4.1
Celeste Petch,35,3.7
Lawrence Cormier,45,3.3
Ruth Patrick,38,4.5
Donna Cortez,46,4.4
Tanya Favela,57,4.6
Rolando Widmer,73,5.5
Thomas Bulow,53,3.6
Shannon Bale,53,4.7
Charles Ayala,37,3.1
Anthony Anderson,88,4.3
Sharon Sikes,63,4.5
Ruth Dupre,26,3.2
Dorothea Martin,65,4.6
Alberto Roberts,41,4.0
Shawn Lopez,46,3.8
Melissa Johnston,0,1.8
Richard Bratcher,55,4.6
Arthur Daschofsky,31,3.1
Jeffrey Massa,55,3.6
Charlotte Benton,69,5.8
Dana Bolyard,47,4.1
Solomon Washington,53,4.1
Jean Stamdifer,31,3.2
Maritza Kielbasa,42,4.9
Michael Young,48,4.5
Clarissa Mccarthy,31,4.8
Denise Mcdonald,52,4.0
John Suh,50,4.3
Olga Hatcher,32,3.1
Victor Kinkead,54,4.4
Anthony Hinerman,44,3.4
Larry Matthews,39,3.2
Charles Jackson,24,2.6
Charles Linstrom,56,5.2
Kara Greene,42,5.0
Mary Wilson,43,4.3
Emily Devins,42,3.4
Paul Sherrill,39,2.9
Scott Oviedo,40,3.0
Casey Brenneman,72,4.1
Ronald Jett,37,3.3
Joy Hasler,58,4.4
Nancy Rand,60,5.0
Mable Collins,63,4.0
Kim Adams,52,4.4
Maritza Gasaway,58,6.2
Julie Sciancalepore,45,4.9
Eugene Jewett,18,3.0
Alan Sigmon,49,4.3
Russel Broussard,34,3.2
Rachel Angelini,79,4.6
Timothy Anderson,62,4.4
Jesus Currier,45,5.0
Velma Chatcho,44,4.9
Patricia Hearn,46,4.2
Judith Mcenany,58,4.2
James Denk,71,4.6
Donald Mooberry,54,5.0
Julie Tang,85,5.9
James Michael,48,3.1
James Stanley,68,4.6
Martha Ball,58,5.0
Cleo Jefferson,60,5.2
Larry Workman,66,3.6
Monica Schwartz,46,4.2
Gladys Thompson,56,4.5
Patricia Spiller,61,4.7
William Pool,43,4.3
Arthur Patterson,37,3.5
Miranda Domingo,35,3.8
Emma Gray,99,5.2
Josh Moore,84,5.6
Pamela Cannady,75,6.1
Eileen Hardin,54,4.9
Cynthia Weir,35,3.6
Kathryn Neville,44,5.1
Diane Hopkins,79,4.9
Earl Rodriguez,91,4.7
Connie Banda,70,5.5
Jerome Riddle,50,4.1
Robert Sturgeon,74,5.3
Wendy Lewis,60,6.7
Floyd Annino,72,4.3
Albert Duran,45,5.6
Richard Pina,73,4.9
Brenna Pate,40,3.1
James Crawford,80,4.5
Larry Braun,37,2.6
Albert Vaughn,60,4.1
Rachele Hammer,67,5.4
Matthew Mcdonald,66,5.7
Karl Hernandez,58,4.3
Gary Spencer,51,3.6
Matthew Burns,56,4.3
Jeanne White,47,4.2
Jonathan Clingan,56,3.6
Patricia Mcclurg,60,4.5
Geraldine Gamboa,47,3.6
Mary Delgado,37,3.3
Doyle Johnson,57,3.1
Manuel Glover,88,4.9
Barbara Henriques,19,3.3
Christopher Hernandez,88,5.5
Randy Olson,65,3.9
Judy Helmer,68,5.0
David Martinez,90,5.8
Robert Hickman,43,4.2
George Estrada,61,4.2
Ronnie Lim,53,4.8
Jim Burkhart,48,3.6
Richard Stevens,43,5.0
Virginia Trible,49,5.3
Estelle Jackson,46,4.6
Mitchell Eguia,48,3.5
Clora Machado,48,4.6
Walter Mata,66,4.0
Derrick Crasco,73,4.7
Mary Piotrowski,60,6.3
John Ousley,34,3.2
Micheal Thompson,36,3.2
Esther Childress,72,6.5
Emmie Mooreland,76,5.2
Daniel Deas,37,3.8
Joyce Thornton,40,4.2
Denise Chavez,61,5.0
Tanya Anderson,46,4.2
Richard Royals,50,5.4
Sylvester Beveridge,65,4.7
Carolyn Greer,55,4.6
Joyce Amos,63,3.8
Callie Mork,34,4.1
Ofelia Evans,64,5.4
Aurelia Spaulding,32,3.6
Rosalind Knauer,63,5.6
Evelyn Galligan,52,5.2
Emma Brasher,77,5.2
Christian Hill,43,5.1
Tamara Mckinney,32,4.5
Margaret Yarbrough,40,3.1
Lee Trent,45,4.3
Charles Harian,31,4.1
Eric Brown,65,5.0
Joe Burks,56,5.6
Hans Crabtree,43,4.2
John Moreno,33,3.2
Kimberly Chavez,69,4.7
Gail Cassady,59,4.9
James Braun,53,5.5
Georgia Collins,55,4.1
Isaac Pagan,61,4.7
Rose Nguyen,55,5.0
Richard Henry,42,3.6
John Sabir,59,4.3
William Gardiner,49,3.4
Robbie Stevens,36,3.9
Mary Jackson,78,4.8
Audrey Head,60,5.5
Audrey Shaffer,45,5.4
Brenton Graap,48,4.2
Stacy Parker,45,3.9
Brian Green,59,3.0
Jeremy Smith,59,4.4
Michael Leta,57,4.0
James Aguirre,72,4.8
